Key	Name	Description	Cost	Power Magic	Damage	Crit Chance	Accuracy	Column Pos	Row Pos	Level
anathema	Anathema	Inflicts the cursed status on one character.	1	0	0	0	80	2	0	
bucketSplash	Bucket Splash	Pulls forth a bucket full of water and splashes the opponent over a significant distance. Deals no damage. Makes opponent susceptible to ice magic.	1	1	0	0	100	4	0	
twilightCascade	Twilight Cascade	A wave of black magic, engulfing enemies and dealing moderate damage. Has a 20% chance to curse.	1	0	0	0	100	2	1	
hollow	Hollow	Swap the attack/magic attack and defense/magic defense of one denigen.	1	0	0	0	100	1	1	
resistEnchantment	Resist Enchantment	Block the effects of the next spell used on you.	1	0	0	0	100	1	2	
study	Study	Gain a 75% resistance to the last spell or skill used on you.	1	5	0	0	100	1	3	
resiviction	Resiviction	Cast your previous spell at no cost, but has a chance to fail. Fail chance begins at 90% then scales off to 60% and caps at 30%.	1	0	0	0	10	1	4	
eclipse	Eclipse	Inflicts "Blinded" status to one character.	1	0	0	0	70	3	1	
bonecrush	Bonecrush	Hex one character, causing their bones to become incredibly brittle. They have a 50% chance to be hit by a critical on the next attack they take.	1	0	0	0	75	3	2	
reaperGaze	Reaper Gaze	Cast a hex on one character, petrifying them for 3-5 turns. Cannot be cast while blinded, and cannot be cast on the blind.	1	0	0	0	100	3	3	
